Part time workers									
pt_to_pt	PT to PT					0.229		-0.145	
						(0.180)		(0.302)	
Constant	Constant	0.182**	0.0293	0.182	0.0336	0.564**	0.567**	0.681*	0.242
		(0.0769)	(0.111)	(0.118)	(0.208)	(0.239)	(0.273)	(0.365)	(0.395)
									
Observations		6,433	2,817	2,827	1,017	3,962	1,579	2,062	655
R-squared		0.046	0.059	0.062	0.076	0.053	0.067	0.071	0.096
Year FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Dep. var. mean		0.124	0.164	0.175	0.175	0.490	0.490	0.472	0.472
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
